,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
38175,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Pole Vault,Silver
38179,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
38180,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Rope Climbing,Silver
38182,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Cycling,Cycling Men's 20 kilometres,Gold
38191,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Tumbling,Bronze
38193,Canada,CAN,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Marathon,Gold
38196,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Silver
38198,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
38199,United States,USA,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's 500 metres,Gold
38200,United States,USA,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
38202,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Discus Throw,Gold
38203,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Gold
38206,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,Gold
38208,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
38211,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,Silver
38223,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Heavyweight,Bronze
38224,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
38227,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,Gold
38230,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",Gold
38234,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Silver
38241,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold
38242,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Single Sculls,Gold
38245,Sweden,SWE,1948 Summer,1948,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
38246,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Shot Put,Gold
38247,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Shot Put,Gold
38248,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,Silver
38254,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 100 metres,Bronze
38255,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 200 metres,Bronze
38256,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 60 metres,Silver
38257,Great Britain,GBR,1908 Summer,1908,Summer,London,Boxing,Boxing Men's Middleweight,Bronze
38259,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Javelin Throw,Silver
38268,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,Bronze
38276,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,Bronze
38282,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Lightweight,Silver
38285,United States,USA,1904 Summer,1904,Summer,St. Louis,Fencing,"Fencing Men's Single Sticks, Individual",Silver
38287,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",Bronze
38296,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Figure Skating,Figure Skating Men's Singles,Bronze
38299,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,Silver
38301,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
38302,United States,USA,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
38303,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Rings,Silver
38312,Great Britain,GBR,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,Silver
38314,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Pole Vault,Gold
38316,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Gold
38317,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Shot Put,Silver
38319,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,Bronze
38320,United States,USA,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
38322,United States,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
38323,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
38326,South Africa,RSA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Flyweight,Bronze
38327,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,Gold
38338,Denmark,DEN,1928 Summer,1928,Summer,Amsterdam,Cycling,Cycling Men's Sprint,Bronze
38339,Denmark,DEN,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
38341,Switzerland,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
38343,Belgium,BEL,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",Bronze
38347,Norway,NOR,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
38348,Norway,NOR,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
38351,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Long Jump,Silver
38354,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 100 metres,Gold
38355,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 200 metres,Gold
38358,Kenya,KEN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 800 metres,Bronze
38359,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,Silver
38360,Kenya,KEN,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
38361,Kenya,KEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,Bronze
38362,Denmark,DEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,Bronze
38363,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 800 metres,Silver
38365,Austria,AUT,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
38366,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 200 metres Breaststroke,Silver
38367,Finland,FIN,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
38369,Indonesia,INA,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Featherweight,Bronze
38370,Kenya,KEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,Silver
38371,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,Silver
38376,Jamaica,JAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,Silver
38378,Germany,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Individual",Bronze
38381,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Individual",Gold
38387,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Individual",Bronze
38393,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Middleweight,Bronze
38395,Poland,POL,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
38399,Poland,POL,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
38405,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,Bronze
38407,Poland,POL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,Bronze
38410,Germany,GER,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
38413,Germany,GER,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Bantamweight,Gold
38417,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
38418,Germany,GER,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
38420,East Germany,GDR,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Single Sculls,Bronze
38423,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,Bronze
38424,Germany,GER,1964 Summer,1964,Summer,Tokyo,Judo,Judo Men's Middleweight,Silver
38444,Austria,AUT,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed One Person Dinghy,Silver
38446,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Pole Vault,Bronze
38447,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Pole Vault,Gold
38448,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
38450,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Pole Vault,Silver
38452,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Luge,Luge Men's Singles,Gold
38453,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Discus Throw,Silver
38454,Austria,AUT,1968 Winter,1968,Winter,Grenoble,Figure Skating,Figure Skating Men's Singles,Gold
38467,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Luge,Luge Men's Singles,Bronze
38471,Austria,AUT,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
38472,Austria,AUT,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
38475,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Bronze
38476,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Bronze
38479,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,Bronze
38481,Thailand,THA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,Silver
38486,China,CHN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Silver
38491,China,CHN,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Bantamweight,Silver
38492,China,CHN,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Flyweight,Gold
38493,China,CHN,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Flyweight,Gold
38494,China,CHN,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Bantamweight,Silver
38495,China,CHN,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Springboard,Bronze
38498,China,CHN,2012 Summer,2012,Summer,London,Diving,Diving Women's Springboard,Gold
38501,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Springboard,Silver
38504,China,CHN,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Bantamweight,Gold
38505,China,CHN,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Bantamweight,Silver
38506,China,CHN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
38507,China,CHN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
38515,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 800 metres,Bronze
38516,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 400 metres,Gold
38517,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 400 metres,Silver
38518,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 100 metres,Gold
38519,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 100 metres,Gold
38525,Germany,GER,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Bronze
38526,Switzerland,SUI,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
38527,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
38534,France,FRA,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Heavyweight,Bronze
38538,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Single Sculls,Gold
38539,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Single Sculls,Silver
38543,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
38544,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
38545,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
38547,China,CHN,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Men's Singles,Bronze
38548,China,CHN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,Gold
38549,China,CHN,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Lightweight,Gold
38550,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Light-Heavyweight,Gold
38551,China,CHN,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,Bronze
38552,China,CHN,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Springboard,Gold
38553,China,CHN,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,Bronze
38554,China,CHN,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Running Target, 10 metres",Silver
38557,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
38560,China,CHN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,Silver
38561,Colombia,COL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 400 metres,Bronze
38563,China,CHN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",Gold
38564,China,CHN,1992 Summer,1992,Summer,Barcelona,Diving,Diving Men's Platform,Bronze
38565,China,CHN,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Springboard,Gold
38566,China,CHN,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Springboard,Gold
38568,China,CHN,1988 Summer,1988,Summer,Seoul,Diving,Diving Men's Platform,Silver
38574,China,CHN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze
38575,China,CHN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
38577,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,Silver
38579,China,CHN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Lightweight, Freestyle",Silver
38580,China,CHN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's One Person Dinghy,Bronze
38581,China,CHN,2012 Summer,2012,Summer,London,Sailing,Sailing Women's One Person Dinghy,Gold
38582,China,CHN,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,Silver
38583,China,CHN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Aerials,Silver
38584,China,CHN,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Women's Aerials,Silver
38587,China,CHN,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Lightweight,Bronze
38588,China,CHN,1988 Summer,1988,Summer,Seoul,Diving,Diving Women's Platform,Gold
38593,China,CHN,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
38596,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
38597,Turkey,TUR,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
38600,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,Silver
38602,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
38603,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Running Target, 50 metres",Gold
38606,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Featherweight,Bronze
38607,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Heavyweight,Silver
38608,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,Bronze
38609,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Flyweight,Bronze
38610,Cuba,CUB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,Gold
38614,China,CHN,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,Bronze
38615,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
38616,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",Gold
38619,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Gold
38620,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Gold
38621,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Individual Medley,Gold
38622,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Gold
38623,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,Silver
38626,Ukraine,UKR,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Individual",Gold
38628,Cuba,CUB,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
38629,Brazil,BRA,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
38630,Cuba,CUB,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,Silver
38631,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,Silver
38632,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Silver
38633,Chinese Taipei,TPE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,Silver
38635,South Korea,KOR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
38638,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
38639,South Korea,KOR,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
38641,North Korea,PRK,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
38642,China,CHN,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Running Target, 10 metres",Gold
38643,China,CHN,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Running Target, 10 metres",Gold
38645,South Korea,KOR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
38647,China,CHN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,Gold
38649,China,CHN,2004 Summer,2004,Summer,Athina,Badminton,Badminton Women's Doubles,Gold
38651,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,Silver
